module,n_emulators,n_frames,time,effective_fps
mp,1,1800,0.0332356190001519,54158.762621264
mp,1,1800,0.023885693000011,75358.91883058049
mp,1,1800,0.0229670870003246,78373.02135767386
mp,1,1800,0.0204254569998738,88125.32321852658
mp,1,1800,0.0207411169999431,86784.13992867069
mp,2,1800,0.0231295059998046,155645.34755002553
mp,2,1800,0.022528938999585,159794.47589903377
mp,2,1800,0.0239611269998931,150243.3504073515
mp,2,1800,0.0244282759999805,147370.20328421323
mp,2,1800,0.0244619800000691,147167.15490691358
mp,4,1800,0.0304209849996368,236678.7268750814
mp,4,1800,0.029989568000019,240083.48503037533
mp,4,1800,0.0289307970001573,248869.74250867844
mp,4,1800,0.0285893370000849,251842.1466009727
mp,4,1800,0.0280162120002387,256994.0575813264
mp,8,1800,0.0423882380000577,339716.8808946572
mp,8,1800,0.0444183399999928,324190.4132392679
mp,8,1800,0.0456121450001774,315705.3894295914
mp,8,1800,0.0418310410000231,344241.97093235253
mp,8,1800,0.0406726760002129,354046.0430959744
mp,16,1800,0.0688829390001046,418100.6272098268
mp,16,1800,0.0650213320000148,442931.5597532428
mp,16,1800,0.0774764029997641,371726.08542613534
mp,16,1800,0.0719877229998928,400068.21718812885
mp,16,1800,0.068984286000159,417486.3823325445
mp,32,1800,0.2305285620000177,249860.5790982012
mp,32,1800,0.1278602919996956,450491.6976111483
mp,32,1800,0.1151018479999947,500426.37021781446
mp,32,1800,0.1273923870003273,452146.32802077895
mp,32,1800,0.1470263040000645,391766.6324522087
vec,1,1800,1.6814950170000884,1070.475964425594
vec,1,1800,1.6469905760000074,1092.9024283621595
vec,1,1800,1.6421541659997274,1096.1212030322242
vec,1,1800,1.6327616749999834,1102.4266600329277
vec,1,1800,1.6354919919999702,1100.5862509903582
vec,2,1800,1.924824974999865,1870.2999216852184
vec,2,1800,1.902989213999717,1891.760590924997
vec,2,1800,1.8752291109999533,1919.7654190000944
vec,2,1800,1.8858711600000788,1908.932103293764
vec,2,1800,1.881277903999944,1913.5928787266007
vec,4,1800,2.305789920999814,3122.574148853078
vec,4,1800,2.2922755170002347,3140.983684815608
vec,4,1800,2.2867882649998137,3148.52061740862
vec,4,1800,2.2937568719999035,3138.955173449744
vec,4,1800,2.326956182000231,3094.170855340707
vec,8,1800,2.760770323999622,5215.9355216258
vec,8,1800,2.7444988689999263,5246.859513280559
vec,8,1800,2.712694031999945,5308.376038776309
vec,8,1800,2.739288244999898,5256.839993485438
vec,8,1800,2.7496290789999875,5237.070014271574
vec,16,1800,3.2692961710004056,8809.235533771536
vec,16,1800,3.276575102000152,8789.665764846755
vec,16,1800,3.3039941179999914,8716.722539879556
vec,16,1800,3.261138112000026,8831.272706305966
vec,16,1800,3.2131687950000014,8963.114556824888
vec,32,1800,3.503784581000218,16439.366824189015
vec,32,1800,3.514691558000777,16388.351310339156
vec,32,1800,3.517953065999791,16373.157605964328
